Average,,,,E0,E1,Analog,,,,,,,,,,,
Index [1],exx [1] - engr.,eyy [1] - engr.,exy [1] - engr.,ΔL/L0 [0] Extensometer x-strain,ΔL/L0 [1] Extensometer y-strain,Time_0,Disp_mm,Load_N,Area,,Strain,Stress,,Possion,,,
0,0,0,-1.88E-17,,0,0,-0.0002,-6.4415,0.00005413,,0,0.119000554,,,,0.209876301,0.25421138
1,-0.000132461,4.54E-06,-4.45E-05,-3.27E-05,-3.42E-05,1.0023,-0.0001,25.7661,,,-4.54E-06,-0.476004064,,2.92E+01,,0.18759576,
2,-3.82E-05,-4.20E-06,-1.53E-05,-3.94E-05,-2.13E-05,2.0068,0.0001,-12.8831,,,4.20E-06,0.238002956,,-9.09E+00,,0.360120584,
3,-4.43E-05,4.68E-06,-8.16E-05,-3.41E-07,7.46E-05,3.0031,-0.0001,-25.7662,,,-4.68E-06,0.476005912,,9.46E+00,,0.230343635,
4,-2.11E-05,1.85E-05,-2.87E-05,5.90E-06,4.19E-05,4.0011,-0.0001,6.4415,,,-1.85E-05,-0.119000554,,1.14E+00,,0.190155215,
5,-7.29E-06,8.84E-06,6.50E-05,8.68E-06,3.27E-05,5.0083,-0.0013,-12.8831,,,-8.84E-06,0.238002956,,8.25E-01,,0.299936189,
6,-3.29E-05,-0.000157243,-7.15E-05,9.60E-06,7.17E-06,6.0063,-0.0035,-3.2208,,,0.000157243,0.059501201,,-2.09E-01,,0.216711001,
7,0.000134167,-0.000251,6.72E-05,-4.70E-06,-2.78E-05,7.0053,-0.0055,-16.1039,,,0.000251,0.297504157,,5.35E-01,,0.309738248,
8,-1.60E-05,-0.000350044,3.56E-05,-0.000103474,-4.17E-06,8.0021,-0.0079,-32.2077,,,0.000350044,0.595006466,,-4.57E-02,,0.330700867,
9,-5.43E-05,-0.000321826,-5.96E-05,-0.000119374,-6.36E-05,9.003,-0.0097,-80.5192,,,0.000321826,1.487515241,,-1.69E-01,,0.196935094,
10,5.81E-05,-0.000391957,-2.65E-05,-0.000183193,1.77E-05,10.0001,-0.0119,-161.038,,,0.000391957,2.975023093,,1.48E-01,,0.311161255,
11,1.34E-05,-0.000381091,-8.93E-05,-0.00017695,3.43E-05,11.0033,-0.014,-228.674,,,0.000381091,4.22453353,,3.51E-02,,0.221933375,
12,6.01E-05,-0.000410555,-0.000107165,-0.000183261,5.02E-05,12.0031,-0.0161,-338.181,,,0.000410555,6.247570663,,1.46E-01,,0.207043028,
13,7.03E-05,-0.000431236,-9.57E-05,-0.000218157,5.21E-05,13.0051,-0.0183,-457.349,,,0.000431236,8.449085535,,1.63E-01,,0.244041407,
14,7.69E-05,-0.000465482,-7.22E-05,-0.000279145,9.24E-06,14.0046,-0.0204,-611.946,,,0.000465482,11.30511731,,1.65E-01,,0.319730432,
15,0.00013103,-0.000464257,-9.21E-05,-0.000283752,8.58E-05,15.0063,-0.0225,-743.997,,,0.000464257,13.74463329,,2.82E-01,,0.152124198,
16,0.000106958,-0.000509624,-0.000126056,-0.000266182,5.77E-05,16.006,-0.0246,-908.257,,,0.000509624,16.77917975,,2.10E-01,,0.267733658,
17,0.000108971,-0.000580882,-0.000110426,-0.0003095,8.81E-05,17.0049,-0.0266,-1072.52,,,0.000580882,19.81378164,,1.88E-01,,0.230570545,
18,0.000222552,-0.000617993,-0.000147961,-0.000385964,5.75E-05,18.0059,-0.0287,-1249.66,,,0.000617993,23.08627379,,3.60E-01,,0.187710756,
19,0.00015375,-0.000667481,-7.93E-05,-0.000430462,0.000143057,19.0053,-0.0309,-1426.8,,,0.000667481,26.35876593,,2.30E-01,,0.227113892,
20,0.000127203,-0.000668943,-0.000180396,-0.000455697,0.000118611,20.0051,-0.0329,-1632.93,,,0.000668943,30.16682062,,1.90E-01,,0.226000355,
21,0.000204938,-0.000683272,-0.000164359,-0.000459987,0.000173883,21.006,-0.0352,-1803.63,,,0.000683272,33.32033992,,3.00E-01,,0.277301336,
22,0.000165868,-0.000765388,-0.000122024,-0.000521257,0.000111055,22.0056,-0.0372,-2022.64,,,0.000765388,37.36634029,,2.17E-01,,0.29762222,
23,0.000236334,-0.000763012,-0.000154788,-0.000537128,0.000149837,23.0062,-0.0394,-2219.11,,,0.000763012,40.99593571,,3.10E-01,,0.297473349,
24,0.000273274,-0.000826348,-0.000171005,-0.000577321,0.000163767,24.0044,-0.0413,-2422.02,,,0.000826348,44.74450397,,3.31E-01,,0.182067732,
25,0.000161511,-0.000820123,-0.00025474,-0.00053836,0.000233531,25.0045,-0.0434,-2624.93,,,0.000820123,48.49307223,,1.97E-01,,0.243454436,
26,0.000293033,-0.00094174,-0.000153251,-0.000679312,0.000272554,26.0021,-0.0457,-2856.82,,,0.00094174,52.77701829,,3.11E-01,,0.195977819,
27,0.000207794,-0.00093629,-0.000268449,-0.000671271,0.000258371,27.0017,-0.0477,-3046.85,,,0.00093629,56.28764086,,2.22E-01,,0.241192847,
28,0.000210952,-0.00101888,-0.00020188,-0.000718701,0.000238351,28.0033,-0.0499,-3265.86,,,0.00101888,60.33364123,,2.07E-01,,0.233644278,
29,0.000232918,-0.00095442,-0.000171785,-0.000709368,0.000243581,29.0056,-0.052,-3507.42,,,0.00095442,64.7962313,,2.44E-01,,0.231033019,
30,0.000323564,-0.00101199,-0.000260712,-0.000788001,0.000357406,30.0043,-0.0542,-3732.87,,,0.00101199,68.96120451,,3.20E-01,,0.199678231,
31,0.000161778,-0.00106346,-0.000242684,-0.000877995,0.000257475,31.0025,-0.0562,-3967.99,,,0.00106346,73.30482173,,1.52E-01,,0.203257472,
32,0.000281704,-0.00105218,-0.000230396,-0.000847293,0.000309571,32.0038,-0.0582,-4190.22,,,0.00105218,77.41030852,,2.68E-01,,0.281132797,
33,0.000260215,-0.00112857,-0.000288159,-0.000867561,0.000318077,33.0027,-0.0604,-4409.23,,,0.00112857,81.45630889,,2.31E-01,,0.286782261,
34,0.00022823,-0.00121586,-0.00033197,-0.000932244,0.000275783,34.0038,-0.0624,-4634.69,,,0.00121586,85.62146684,,1.88E-01,,0.202917844,
35,0.000280254,-0.00123398,-0.000291797,-0.000961091,0.000335698,35.0029,-0.0647,-4889.13,,,0.00123398,90.32200259,,2.27E-01,,0.250157234,
36,0.000280028,-0.00123906,-0.000304621,-0.000939847,0.000381503,36.0032,-0.0668,-5098.48,,,0.00123906,94.18954369,,2.26E-01,,0.233474716,
