Experiment:,25C,,,,,,,,,,,,,,New3D,,New2D,,,1.94E-01,9811.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (s),Depth (nm),Load (uN),,hm (nm),F (uN),hm1 (um),hm1 (nm),F1 (uN),F (exp),disp_y_2D,react_y_2D,disp_y_3D,react_y_3D,,h3D,F3D,h2D,F2D,,Depth1,Force1,Depth2,Force2,Depth,Force,,Depth0 (nm),Load0 (uN),Depth2 (nm),Load2 (uN),Depth3 (nm),Load3 (uN),Depth4 (nm),Load4 (uN),Depth5 (nm),Load5 (uN),Depth6 (nm),Load6 (uN),Depth7 (nm),Load7 (uN),Depth8 (nm),Load8 (uN),Depth9 (nm),Load9 (uN),Depth10 (nm),Load10 (uN),Depth11 (nm),Load11 (uN),Depth12 (nm),Load12 (uN),Depth13 (nm),Load13 (uN),Depth14 (nm),Load14 (uN),Depth15 (nm),Load15 (uN),Depth16 (nm),Load16 (uN),Depth17 (nm),Load17 (uN),Depth18 (nm),Load18 (uN),Depth19 (nm),Load19 (uN),Depth20 (nm),Load20 (uN),Depth21 (nm),Load21 (uN),Depth22 (nm),Load22 (uN),Depth23 (nm),Load23 (uN),Depth24 (nm),Load24 (uN)
4.081254,0,0.828354,,0,5.49E-13,0.00E+00,0.00E+00,1.80E-11,0,0,0,0,0,,-2.22E-03,9.54E+00,,,,1.95E-03,4.5827,1.84E-03,6.7346,1.21E-03,1.5464,,0,-4.364263,0,3.796191,0,3.084887,0,4.773295,0,5.270559,0,2.265517,0,1.745296,0,4.040522,0,4.948084,0,3.36237,0,5.992596,0,4.908226,0,6.264292,0,4.128094,0,3.081519,0,3.360005,0,1.739676,0,0.628085,0,0.516542,0,4.915756,0,0.750495,0,0.823302,0,2.771492,0,4.984049
4.086259,0.039864,0.985792,,0,6.84E-13,0.00E+00,0.00E+00,5.29E-12,0,-0.00226,-0.010288332,-0.00226,-0.000832899,0,tar xfz mpich.tar.gz,29.455,,,,3.46E-03,12.389,3.76E-03,19.03,3.98E-03,4.1538,,0.069427,-4.196435,-0.188162,3.926105,0.139504,3.180332,0.253084,4.808353,-0.021106,5.34156,0.131736,2.365397,0.003348,1.872929,-0.009266,4.138258,0.356686,4.973693,0.487999,3.388714,-0.221152,6.102889,-0.061055,5.006121,-0.303235,6.375726,-0.182871,4.255029,-0.103012,3.213978,-0.075307,3.481026,0.406573,1.801105,0.740816,0.655458,0.563133,0.573411,-0.202012,5.02632,0.144092,0.885439,0.048498,0.965277,-0.386307,2.935127,-0.430138,5.13514
4.091264,0.25445,1.303845,,0,7.96E-13,0.00E+00,0.00E+00,1.56E-11,0,-0.00452,-0.023568511,-0.00452,-0.001717985,-0.226,-6.66E-03,53.62,,,,5.37E-03,24.372,5.84E-03,31.776,6.52E-03,8.0594,,0.034417,-3.798476,0.013254,4.127195,0.275632,3.407712,-0.04006,5.045022,0.018907,5.503351,-0.06029,2.67087,0.229594,2.135259,-0.062986,4.34754,0.346855,5.154755,0.208194,3.677232,0.083404,6.186,-0.185326,5.207829,-0.379763,6.53628,-0.006377,4.444966,-0.101213,3.476611,0.068744,3.701431,0.127754,2.148243,0.403916,1.064343,0.430137,0.938347,-0.058033,5.195566,0.1105,1.224026,-0.01202,1.299416,-0.106402,3.156024,0.158219,5.233531
4.096269,0.39805,1.813072,,0,4.17E-13,0.00E+00,0.00E+00,3.99E-12,0,-0.00678,-0.038055636,-0.00678,-0.003578195,0,-8.88E-03,73.694,,,,7.31E-03,35.514,7.84E-03,50.151,8.06E-03,16.207,,0.120417,-3.224106,0.096658,4.520514,0.412928,3.822595,-0.113204,5.436631,0.233564,5.84273,0.305075,3.075145,0.104555,2.646257,0.270824,4.701839,0.250766,5.551809,0.264054,4.101908,-0.092614,6.553743,-0.06561,5.573948,-0.212783,6.840651,0.139554,4.82841,0.153498,3.863596,0.109719,4.134596,0.580964,2.570877,0.693452,1.54021,0.206395,1.495221,0.220186,5.530788,0.331072,1.693157,0.255301,1.77251,0.055621,3.572385,-0.33383,5.700743
4.101274,0.327723,2.554776,,0,3.89E-13,0.00E+00,0.00E+00,9.80E-12,0,-0.00904,-0.05494795,-0.00904,-0.005053972,-9.699243128,-1.11E-02,92.316,,,,9.24E-03,47.596,9.86E-03,69.628,9.65E-03,23.837,,0.268895,-2.463959,0.089724,5.136753,0.3165,4.460147,0.165639,5.968781,0.089392,6.427277,0.541061,3.686132,0.198053,3.288998,-0.008083,5.34443,0.526178,6.079582,0.623576,4.655962,0.031312,7.077125,0.101993,6.122779,-0.0578,7.344983,0.021134,5.438423,0.179458,4.491751,-0.077278,4.789012,0.3328,3.292279,0.826957,2.228802,0.774685,2.09681,-0.160107,6.16253,0.365195,2.384609,0.136936,2.482881,-0.065502,4.238332,0.023414,6.212202
4.106278,0.371009,3.459093,,0,6.42E-13,0.00E+00,0.00E+00,5.83E-12,0,-0.0113,-0.071812541,-0.0113,-0.006480388,10.2238527,-1.33E-02,118,,,,1.11E-02,64.188,1.19E-02,91.309,1.18E-02,36.564,,0.554707,-1.531277,0.227707,5.902674,0.496965,5.234513,0.306687,6.704757,0.195997,7.159187,0.362523,4.542905,0.4576,4.090688,0.470186,6.043999,0.264488,6.878664,0.402436,5.495376,0.165019,7.780314,0.02895,6.890802,-0.044218,8.061082,0.123761,6.199244,0.266126,5.284895,-0.058788,5.593411,0.749842,4.089141,0.57023,3.154867,0.7741,2.970495,0.486932,6.812929,0.813263,3.176844,0.367694,3.316973,0.447648,4.970734,0.029439,6.977178
4.111283,0.781604,4.481394,,0,1.77E-13,0.00E+00,0.00E+00,6.50E-12,0,-0.01356,-0.091943638,-0.01356,-0.01063059,,-1.55E-02,146.91,,,,1.30E-02,80.324,1.40E-02,111.83,1.40E-02,48.197,,0.770799,-0.390477,0.629643,6.813657,0.754598,6.178394,0.205025,7.668177,0.594824,8.023577,0.406849,5.547605,0.568181,5.090891,0.571131,6.987828,0.452876,7.789744,0.950067,6.386094,0.072178,8.715204,0.206276,7.811123,0.114262,8.941438,0.538424,7.0924,0.326819,6.266497,0.483034,6.491685,0.955021,5.10034,1.344253,4.08611,0.645784,4.042412,0.163122,7.818145,0.510727,4.274212,0.527537,4.334025,0.001192,6.048191,0.165177,7.905164
4.116288,1.080554,5.708791,,0,1.33E-12,0.00E+00,0.00E+00,1.18E-11,0,-0.01582,-0.110253773,-0.01582,-0.014352194,,-1.78E-02,176.24,,,,1.49E-02,100.88,1.60E-02,136.48,1.60E-02,63.118,,0.977995,0.9385,0.744141,7.95856,0.975423,7.306966,0.556582,8.738814,0.650386,9.131669,0.841039,6.659497,0.673001,6.269375,0.296567,8.178111,0.839971,8.848856,0.873769,7.562844,0.619967,9.723932,0.689196,8.858068,0.278727,10.011147,0.674662,8.213911,0.455651,7.421518,0.682758,7.629331,0.960139,6.333939,1.052915,5.379053,1.614447,5.1031,0.717553,8.853271,1.181003,5.382248,0.986478,5.482974,0.676347,7.119041,0.28804,9.020161
4.121293,1.184694,7.149509,,0,3.56E-13,0.00E+00,0.00E+00,2.91E-12,0,-0.01808,-0.129694027,-0.01808,-0.017132107,,-2.00E-02,2.05E+02,,,,1.68E-02,120.23,1.81E-02,162.77,1.80E-02,80.109,,1.075993,2.473538,0.742537,9.302006,1.047565,8.646114,0.958127,9.981704,0.569272,10.449497,0.820332,8.032004,1.047502,7.586597,0.711428,9.432983,0.836995,10.160452,0.907479,8.905712,0.589234,11.015484,0.585117,10.191238,0.564076,11.239968,0.717719,9.535483,0.629689,8.744228,1.055718,8.921957,1.306711,7.684424,1.482236,6.724484,1.530348,6.525203,0.798726,10.155724,1.002766,6.8128,0.742043,6.929868,0.51657,8.509965,0.381879,10.323089
4.126298,1.265264,8.783057,,0,5.91E-13,0.00E+00,0.00E+00,8.23E-12,0,-0.02034,-0.153878131,-0.02034,-0.020293603,,-2.22E-02,235.92,,,,1.88E-02,141.53,2.01E-02,192.35,2.01E-02,100.14,,1.351485,4.162844,1.071722,10.772275,1.215092,10.146926,0.884134,11.487967,0.802539,11.890443,1.172238,9.522451,1.262477,9.104512,0.997985,10.889825,1.266778,11.577493,1.395735,10.344669,0.483513,12.504675,0.590318,11.686972,0.654629,12.69054,0.844241,11.024095,0.984524,10.217084,1.036354,10.463545,1.132699,9.307665,1.938465,8.249407,1.492084,8.117725,0.909393,11.63607,1.652432,8.284881,1.455496,8.391108,1.095541,9.958389,0.765104,11.760796
