time,disp_y_top,react_y_top,stress_yy
0,0,0,0
0.01,-0.00226,-0.0034996005163687,-0.0016695482019384
0.02,-0.00452,-0.0041025443142691,-0.0019559418802945
0.03,-0.00678,-0.0046744592721038,-0.0022271821129923
0.04,-0.00904,-0.0052271491990338,-0.0024889200615478
0.05,-0.0113,-0.0077289694380729,-0.0036815592576966
0.06,-0.01356,-0.01143255710605,-0.0054467580347534
0.07,-0.01582,-0.015212068447022,-0.0072461211597256
0.08,-0.01808,-0.019863361933674,-0.0094594364248785
0.09,-0.02034,-0.023740404081479,-0.011300882225937
0.1,-0.0226,-0.026894509394736,-0.0127950680377
0.11,-0.02486,-0.029300638639212,-0.01393034224507
0.12,-0.02712,-0.031755435071858,-0.015087511755468
0.13,-0.02938,-0.040152013277257,-0.019081241937183
0.14,-0.03164,-0.048728175386754,-0.023156813678515
0.15,-0.0339,-0.05662368768668,-0.026903045288962
0.16,-0.03616,-0.06318774052911,-0.030009755702989
0.17,-0.03842,-0.06861265817341,-0.032568870891727
0.18,-0.04068,-0.073057990762292,-0.034656919480272
0.19,-0.04294,-0.076891309965433,-0.036449600435538
0.2,-0.0452,-0.086179315912358,-0.040846316157362
0.21,-0.04746,-0.096363606220592,-0.045666581711436
0.22,-0.04972,-0.10567242697972,-0.050063587855154
0.23,-0.05198,-0.11352235188108,-0.053759090734459
0.24,-0.05424,-0.12090661820476,-0.057227603363759
0.25,-0.0565,-0.12793412547725,-0.060521269134657
0.26,-0.05876,-0.13467943985968,-0.063676487808005
0.27,-0.06102,-0.14656243752723,-0.069283350773009
0.28,-0.06328,-0.15823852719641,-0.07478543295452
0.29,-0.06554,-0.17076252781021,-0.080686511474484
0.3,-0.0678,-0.18270135471976,-0.086301609525257
0.31,-0.07006,-0.19302577110991,-0.091139747163668
0.32,-0.07232,-0.20210625727074,-0.095378219697462
0.33,-0.07458,-0.21224886259269,-0.10011953765603
0.34,-0.07684,-0.22504623341899,-0.10612382779469
0.35,-0.0791,-0.23941716974987,-0.11287354681862
0.36,-0.08136,-0.25382093607921,-0.11963129383147
0.37,-0.08362,-0.26653282427597,-0.12557346798399
0.38,-0.08588,-0.2774611416447,-0.13065689076759
0.39,-0.08814,-0.28726753351911,-0.13519759624193
0.4,-0.0904,-0.30165998621343,-0.14192434605502
0.41,-0.09266,-0.31865333274546,-0.14988709058564
0.42,-0.09492,-0.33546542366527,-0.15775492433509
0.43,-0.09718,-0.3506498069969,-0.16483623602484
0.44,-0.09944,-0.36344738301809,-0.17076881460058
0.45,-0.1017,-0.37709834728228,-0.17710203592528
0.46,-0.10396,-0.39473653602838,-0.1853344324327
0.47,-0.10622,-0.41333734579753,-0.19401780339797
0.48,-0.10848,-0.43040261474746,-0.2019585728182
0.49,-0.11074,-0.44740936854244,-0.20986159675995
0.5,-0.113,-0.4637921219715,-0.21745806215663
0.51,-0.11526,-0.47998676158774,-0.2249555428913
0.52,-0.11752,-0.49843415066884,-0.23352161612067
0.53,-0.11978,-0.51803225360007,-0.24262767499555
0.54,-0.12204,-0.53553168893162,-0.25072060238637
0.55,-0.1243,-0.55423982545985,-0.25938245615815
0.56,-0.12656,-0.57327717739076,-0.26819056551397
0.57,-0.12882,-0.59430112405857,-0.27793845964111
0.58,-0.13108,-0.61323067390154,-0.28667431088058
0.59,-0.13334,-0.63533426628703,-0.29691696332856
0.6,-0.1356,-0.6579226780385,-0.30738027555888
0.61,-0.13786,-0.67987205696241,-0.31752651749317
0.62,-0.14012,-0.70120116164111,-0.32736556697607
0.63,-0.14238,-0.72139830389444,-0.3366518336857
0.64,-0.14464,-0.74236851047502,-0.34629793655132
0.65,-0.1469,-0.76339151086102,-0.35595900293401
0.66,-0.14916,-0.78253462279609,-0.36471007096462
0.67,-0.15142,-0.80391789945952,-0.37452103114099
0.68,-0.15368,-0.83025536101405,-0.38668835297041
0.69,-0.15594,-0.85610154158937,-0.39860800993207
0.7,-0.1582,-0.879539886619,-0.40936316013043
0.71,-0.16046,-0.90000500485056,-0.41868347524453
0.72,-0.16272,-0.92816740990354,-0.43167096459542
0.73,-0.16498,-0.95708070761531,-0.44500262077647
0.74,-0.16724,-0.98376551713915,-0.4572543448256
0.75,-0.1695,-1.0092390503585,-0.46891394345457
0.76,-0.17176,-1.0346795749918,-0.48054486846852
0.77,-0.17402,-1.0606101227896,-0.49239733790568
0.78,-0.17628,-1.0846209894499,-0.50331820370907
0.79,-0.17854,-1.11020204052,-0.51497868911833
0.8,-0.1808,-1.1337188612753,-0.52563814262832
0.81,-0.18306,-1.1595598159866,-0.53739313855674
0.82,-0.18532,-1.1915489776369,-0.55207351752796
0.83,-0.18758,-1.2221731510543,-0.56608492517077
0.84,-0.18984,-1.2512136577259,-0.57932498430957
0.85,-0.1921,-1.2783330935046,-0.59163058108282
0.86,-0.19436,-1.3077307371092,-0.60500946654208
0.87,-0.19662,-1.3406832555014,-0.62007008594035
0.88,-0.19888,-1.3727400420256,-0.63468455168801
0.89,-0.20114,-1.4032896324042,-0.64856219696435
0.9,-0.2034,-1.433412130515,-0.66222020739479
0.91,-0.20566,-1.461344311347,-0.67481354862088
0.92,-0.20792,-1.4894416523367,-0.687471514421
0.93,-0.21018,-1.5204946949589,-0.70152890777862
0.94,-0.21244,-1.5517997963999,-0.71569127724413
0.95,-0.2147,-1.5868820157179,-0.73164027077812
0.96,-0.21696,-1.6204125684791,-0.74683066068782
0.97,-0.21922,-1.6516359235434,-0.76089893272203
0.98,-0.22148,-1.6810976369905,-0.77410710900415
0.99,-0.22374,-1.7145432636675,-0.78920230352568
1,-0.226,-1.7468899909517,-0.80375376265533
