time,disp_y_top,react_y_top,stress_yy
0,0,0,0
0.01,-0.00226,-0.0091168687477421,-0.0045506138889993
0.02,-0.00452,-0.012097637059187,-0.0060352087183978
0.03,-0.00678,-0.014214991386639,-0.0070865367258016
0.04,-0.00904,-0.015449869542344,-0.0076967400750031
0.05,-0.0113,-0.016624329046188,-0.0082759989108269
0.06,-0.01356,-0.017754290763454,-0.0088322984826791
0.07,-0.01582,-0.018850824169627,-0.0093711895097964
0.08,-0.01808,-0.019921771968481,-0.009896604552788
0.09,-0.02034,-0.020972867034954,-0.010411418073618
0.1,-0.0226,-0.022008409944314,-0.010917786154014
0.11,-0.02486,-0.025586964293231,-0.012695529394534
0.12,-0.02712,-0.034180443641945,-0.016978896406635
0.13,-0.02938,-0.042248006001244,-0.020995898304562
0.14,-0.03164,-0.049777358555448,-0.024739533093704
0.15,-0.0339,-0.056771113551377,-0.028210599721988
0.16,-0.03616,-0.062814921641762,-0.031201969909964
0.17,-0.03842,-0.067568902604199,-0.033545887295869
0.18,-0.04068,-0.071199623412964,-0.035325790586175
0.19,-0.04294,-0.074458242800861,-0.036916824362032
0.2,-0.0452,-0.07753370718913,-0.038413689325635
0.21,-0.04746,-0.085335858977658,-0.042268430809397
0.22,-0.04972,-0.093477177478181,-0.046288818506266
0.23,-0.05198,-0.10100085556893,-0.049997091768248
0.24,-0.05424,-0.1080633907199,-0.053471111771173
0.25,-0.0565,-0.11420465481709,-0.05648165350653
0.26,-0.05876,-0.12675376612149,-0.062693476591982
0.27,-0.06102,-0.13847131915713,-0.068484277350216
0.28,-0.06328,-0.14902211397932,-0.0736861720098
0.29,-0.06554,-0.15864740553145,-0.078418996994912
0.3,-0.0678,-0.16710276490322,-0.082560612137467
0.31,-0.07006,-0.18211443959665,-0.089973423239669
0.32,-0.07232,-0.19803307239674,-0.097831567853902
0.33,-0.07458,-0.21310850081813,-0.10526096552188
0.34,-0.07684,-0.22744430950913,-0.11231309296515
0.35,-0.0791,-0.24095542013548,-0.11894586692256
0.36,-0.08136,-0.2533024798071,-0.12499075072083
0.37,-0.08362,-0.26454399612944,-0.13047605308457
0.38,-0.08588,-0.27454201360171,-0.13533322733704
0.39,-0.08814,-0.28335298980127,-0.13959113625876
0.4,-0.0904,-0.29686234872315,-0.1461931221917
0.41,-0.09266,-0.31106521121888,-0.15313393258085
0.42,-0.09492,-0.32418452045278,-0.15952379867193
0.43,-0.09718,-0.34488691632354,-0.16969775249291
0.44,-0.09944,-0.36510275023838,-0.17961781381229
0.45,-0.1017,-0.38377133143678,-0.18875445289948
0.46,-0.10396,-0.40073177449706,-0.19702828263179
0.47,-0.10622,-0.41641005478533,-0.20465241998379
0.48,-0.10848,-0.43103018637092,-0.21173788288993
0.49,-0.11074,-0.44401281968129,-0.21799616541334
0.5,-0.113,-0.45547249254806,-0.22348530799398
