time,disp_y_top,react_y_top,stress_yy
0,0,0,0
0.01,-0.00226,-0.0045103056254859,-0.0022527376388685
0.02,-0.00452,-0.0061072780038712,-0.0030487735424467
0.03,-0.00678,-0.0069613075327163,-0.0034732142008924
0.04,-0.00904,-0.0077867862524562,-0.0038829497661689
0.05,-0.0113,-0.0085914330769518,-0.0042818319047109
0.06,-0.01356,-0.0093804717615469,-0.0046724771978073
0.07,-0.01582,-0.010133476176832,-0.0050446617256647
0.08,-0.01808,-0.010671439959332,-0.0053087871603288
0.09,-0.02034,-0.011195945151565,-0.0055657574857587
0.1,-0.0226,-0.011709260887002,-0.005816706921577
0.11,-0.02486,-0.012213083757601,-0.0060624865693582
0.12,-0.02712,-0.012929040266578,-0.0064149293815534
0.13,-0.02938,-0.019263936934502,-0.0095785689097034
0.14,-0.03164,-0.024791542184602,-0.012336653943563
0.15,-0.0339,-0.029507199312654,-0.01468650678104
0.16,-0.03616,-0.033578877275435,-0.016711920722453
0.17,-0.03842,-0.037139779299835,-0.018479578361503
0.18,-0.04068,-0.040172450017445,-0.019981143521385
0.19,-0.04294,-0.042136250987009,-0.020946596115834
0.2,-0.0452,-0.043857301996853,-0.021789073604828
0.21,-0.04746,-0.048483058946922,-0.024083654774983
0.22,-0.04972,-0.055405221229503,-0.027524715663164
0.23,-0.05198,-0.061345607653292,-0.030473520631245
0.24,-0.05424,-0.066371433665403,-0.032963246327465
0.25,-0.0565,-0.070671565287321,-0.035088005863706
0.26,-0.05876,-0.07906914923782,-0.039258595826059
0.27,-0.06102,-0.086080327160994,-0.042732855661545
0.28,-0.06328,-0.09155444893312,-0.04543598362159
0.29,-0.06554,-0.10152813693737,-0.050383775377492
0.3,-0.0678,-0.1214981415619,-0.060318465612156
0.31,-0.07006,-0.14104883070317,-0.070035926586851
0.32,-0.07232,-0.16003453740996,-0.079463304814519
0.33,-0.07458,-0.1780584120184,-0.088401423570145
0.34,-0.07684,-0.19480789672154,-0.09669396290034
0.35,-0.0791,-0.21040111061092,-0.10440004159262
0.36,-0.08136,-0.2244788677359,-0.11134040802892
0.37,-0.08362,-0.23608158575263,-0.11703617593827
0.38,-0.08588,-0.24649536474878,-0.12213020761972
0.39,-0.08814,-0.25575019905027,-0.12663807686844
0.4,-0.0904,-0.26399723519859,-0.13063508372956
0.41,-0.09266,-0.27599066270341,-0.13649912665635
0.42,-0.09492,-0.29171581506807,-0.14422116659493
0.43,-0.09718,-0.31075214333322,-0.15358789447469
0.44,-0.09944,-0.32870256590361,-0.16240244655386
