time,disp_y_top,react_y_top,stress_yy
0,0,0,0
0.01,-0.002,-0.0075170692058246,-0.00059780368372419
0.02,-0.004,-0.01448312110657,-0.001151124971709
0.03,-0.006,-0.017598319923559,-0.0013978654596511
0.04,-0.008,-0.020071216717253,-0.0015933747580847
0.05,-0.01,-0.022496466149581,-0.0017849116713448
0.06,-0.012,-0.037673457002471,-0.0029907005530048
0.07,-0.014,-0.069473455813935,-0.0055168105271784
0.08,-0.016,-0.099512798253464,-0.0078999405539853
0.09,-0.018,-0.12532761384533,-0.0099446047205549
0.1,-0.02,-0.1415111633931,-0.011222831756584
0.11,-0.022,-0.15509641038402,-0.01229323822646
0.12,-0.024,-0.16722829292297,-0.013247151430836
0.13,-0.026,-0.17846517323137,-0.014128853640918
0.14,-0.028,-0.18877777141331,-0.014936001742316
0.15,-0.03,-0.1983582523113,-0.015683915742207
0.16,-0.032,-0.20686234346352,-0.016345282922972
0.17,-0.034,-0.21501165409156,-0.016977594942052
0.18,-0.036,-0.22250254740906,-0.017556685946676
0.19,-0.038,-0.26669861481012,-0.021054253755379
0.2,-0.04,-0.31665563678225,-0.025006808259254
0.21,-0.042,-0.36392713173923,-0.028742119665022
0.22,-0.044,-0.40746424861961,-0.032176916680769
0.23,-0.046,-0.44584336850075,-0.035198955845931
0.24,-0.048,-0.47518204519649,-0.037500858242239
0.25,-0.05,-0.50005496193343,-0.039445970767167
0.26,-0.052,-0.52246080712545,-0.04119276574766
0.27,-0.054,-0.54315853222167,-0.042801678196981
0.28,-0.056,-0.56213782096989,-0.044271935742751
0.29,-0.058,-0.57948510375616,-0.045610833277141
0.3,-0.06,-0.59520038594292,-0.046818240802632
0.31,-0.062,-0.61009871866104,-0.047958974457627
0.32,-0.064,-0.65281661759399,-0.051310890871524
0.33,-0.066,-0.72394191388765,-0.056919064557831
0.34,-0.068,-0.79191035522975,-0.062271659649609
0.35,-0.07,-0.85633842989067,-0.067337956006027
0.36,-0.072,-0.9168278511307,-0.07208620126509
0.37,-0.074,-0.96833634042622,-0.076117569931838
0.38,-0.076,-1.0085204069119,-0.079246938584168
0.39,-0.078,-1.0444679531262,-0.082036353396422
