time,disp_y_top,react_y_top,stress_yy
0,0,0,0
0.01,-0.0015,-0.013214946776339,-0.0065988855353944
0.02,-0.003,-0.017098238980593,-0.0085346481683824
0.03,-0.0045,-0.020560201903481,-0.010258591490021
0.04,-0.006,-0.022781668269793,-0.011362284702941
0.05,-0.0075,-0.024994496058965,-0.012460810244801
0.06,-0.009,-0.027201237727244,-0.013555452206509
0.07,-0.0105,-0.029403775198688,-0.01464713993562
0.08,-0.012,-0.031603659183546,-0.01573664792491
0.09,-0.0135,-0.03380228042876,-0.01682464540658
0.1,-0.015,-0.035498970442806,-0.017661102640031
0.11,-0.0165,-0.037147285608724,-0.018472603328067
0.12,-0.018,-0.038791929173412,-0.019281543207061
0.13,-0.0195,-0.040434394494617,-0.020088647389097
0.14,-0.021,-0.042074926062032,-0.020894046746409
0.15,-0.0225,-0.043713898637556,-0.021697932400368
0.16,-0.024,-0.045159617309785,-0.02240517656346
0.17,-0.0255,-0.046323316851619,-0.022971900414521
0.18,-0.027,-0.047482220902811,-0.023535724586548
0.19,-0.0285,-0.048534995679153,-0.024046430132629
0.2,-0.03,-0.049517349523244,-0.024521816671351
0.21,-0.0315,-0.05049469879916,-0.024994316533445
0.22,-0.033,-0.051467972623896,-0.02546438483272
0.23,-0.0345,-0.052437867551139,-0.02593237558761
0.24,-0.036,-0.0534050688004,-0.026398630406524
0.25,-0.0375,-0.054370193499089,-0.026863457299622
0.26,-0.039,-0.055333801990961,-0.027327135641931
0.27,-0.0405,-0.056296403862645,-0.027789919247683
0.28,-0.042,-0.05725846325873,-0.028252039100579
0.29,-0.0435,-0.058220403548032,-0.028713705666373
0.3,-0.045,-0.059182611271783,-0.029175110888573
0.31,-0.0465,-0.060145439591397,-0.029636429944599
0.32,-0.048,-0.061109211449612,-0.03009782279251
0.33,-0.0495,-0.061973685366043,-0.030509277517261
0.34,-0.051,-0.062734270092688,-0.030868550598242
0.35,-0.0525,-0.063492793937972,-0.031226467915202
0.36,-0.054,-0.064249489523542,-0.031583146741237
0.37,-0.0555,-0.065004943194851,-0.031938877096774
0.38,-0.057,-0.074740673572215,-0.036784938645915
0.39,-0.0585,-0.087294081203851,-0.04303940430926
0.4,-0.06,-0.098711797752555,-0.048722558847778
0.41,-0.0615,-0.10926788370573,-0.053972672732354
0.42,-0.063,-0.11897543540969,-0.058795896437476
0.43,-0.0645,-0.12789570830066,-0.063222327794181
0.44,-0.066,-0.13599589275319,-0.067235212633601
0.45,-0.0675,-0.14337230963775,-0.070882890122235
0.46,-0.069,-0.15032007352999,-0.074312628983663
0.47,-0.0705,-0.15697904887707,-0.077594339002043
0.48,-0.072,-0.16290836087755,-0.080508769983304
0.49,-0.0735,-0.16855718049312,-0.083279925723156
0.5,-0.075,-0.17330630964874,-0.085598502887996
0.51,-0.0765,-0.17734567118848,-0.087560194389523
0.52,-0.078,-0.18109921257897,-0.089377265285039
0.53,-0.0795,-0.18471932518536,-0.091125658467077
0.54,-0.081,-0.18823164840199,-0.092818319092498
0.55,-0.0825,-0.19165603230488,-0.094465274498208
0.56,-0.084,-0.19495613469311,-0.096048688900407
0.57,-0.0855,-0.19816343965101,-0.097584302738833
0.58,-0.087,-0.20132054320053,-0.099093313539983
0.59,-0.0885,-0.20443535935091,-0.1005797132461
0.6,-0.09,-0.20750033750552,-0.10203986638871
0.61,-0.0915,-0.21049118213137,-0.10346176546891
0.62,-0.093,-0.21344737779898,-0.10486499956856
0.63,-0.0945,-0.21632623004754,-0.10622861937975
0.64,-0.096,-0.21912350811499,-0.10755063037193
0.65,-0.0975,-0.22181125036483,-0.10881692289541
0.66,-0.099,-0.22426132051907,-0.10996369448699
0.67,-0.1005,-0.22668417879736,-0.11109574712009
0.68,-0.102,-0.22908273230664,-0.11221456921462
0.69,-0.1035,-0.23140212806067,-0.11329306413452
0.7,-0.105,-0.23369097221727,-0.11435534509092
0.71,-0.1065,-0.23596084898059,-0.1154071808132
0.72,-0.108,-0.2382137818724,-0.1164495986021
0.73,-0.1095,-0.24045163756846,-0.11748354064912
0.74,-0.111,-0.24265715430153,-0.11850062225674
0.75,-0.1125,-0.24481854034456,-0.11949464844396
0.76,-0.114,-0.25319714694007,-0.12359201964581
0.77,-0.1155,-0.26486451208452,-0.1293346825067
0.78,-0.117,-0.28062852603226,-0.13712998826469
0.79,-0.1185,-0.29821881520104,-0.14583880915178
0.8,-0.12,-0.31491410324091,-0.15409789424442
0.81,-0.1215,-0.33077609775988,-0.16193713666663
0.82,-0.123,-0.34580316213305,-0.16935492250587
0.83,-0.1245,-0.35959585089219,-0.17614975721133
0.84,-0.126,-0.37108885929717,-0.1817904302011
0.85,-0.1275,-0.38158401416697,-0.18692818352649
0.86,-0.129,-0.39119532930903,-0.19162002865493
0.87,-0.1305,-0.40026789712267,-0.19603790232535
0.88,-0.132,-0.40888299290137,-0.20022185026121
0.89,-0.1335,-0.41710650972211,-0.20420445670371
0.9,-0.135,-0.42487696939267,-0.20795625417405
0.91,-0.1365,-0.43215056560865,-0.21145678386185
0.92,-0.138,-0.43891265019735,-0.21469827321298
0.93,-0.1395,-0.44512552552192,-0.21766242303938
0.94,-0.141,-0.45118048424156,-0.22054420957996
0.95,-0.1425,-0.45709944970199,-0.22335470565998
0.96,-0.144,-0.46283132527571,-0.22606815240771
0.97,-0.1455,-0.4859197967152,-0.23745876644142
0.98,-0.147,-0.50861581056788,-0.24865362207217
0.99,-0.1485,-0.52986623925765,-0.25912521286166
1,-0.15,-0.5496462859694,-0.26885827238573
1.01,-0.147,-0.47794065689587,-0.23364045101764
1.02,-0.144,-0.40556330802353,-0.19796115633782
1.03,-0.141,-0.35263544589734,-0.17215963263322
1.04,-0.138,-0.29985216319537,-0.14639076469149
1.05,-0.135,-0.24699177281538,-0.1205423972624
1.06,-0.132,-0.19402275591002,-0.094601183366145
1.07,-0.129,-0.14227601092163,-0.069231970177826
1.08,-0.126,-0.10146718073427,-0.049353549960221
1.09,-0.123,-0.069488320009696,-0.033924199169387
1.1,-0.12,-0.040227089546546,-0.019798017289494
1.11,-0.117,-0.01467216041746,-0.0074584590152284
1.12,-0.114,-0.0069133996186938,-0.0037849668836644
1.13,-0.111,-0.0012658356991321,-0.0011062722948361
1.14,-0.108,1.079339123706e-08,-0.00050496234469241
1.15,-0.105,4.8072512801262e-12,-0.00050497128887602
1.16,-0.102,-1.078367257199e-08,-0.00050498023307312
1.17,-0.099,-2.1572334107799e-08,-0.00050498917727649
1.18,-0.096,-3.2360871354388e-08,-0.00050499812147937
1.19,-0.093,-4.3149455228095e-08,-0.00050500706568114
1.2,-0.09,-5.3938019119075e-08,-0.00050501600987954
1.21,-0.087,-6.4726585586901e-08,-0.00050502495408322
1.22,-0.084,-7.5515290119314e-08,-0.00050503389828287
1.23,-0.081,-8.6303870449503e-08,-0.00050504284248554
1.24,-0.078,-9.7092328782834e-08,-0.00050505178669039
1.25,-0.075,-1.0788091088352e-07,-0.0005050607308865
1.26,-0.072,-1.1866951544925e-07,-0.00050506967508756
1.27,-0.069,-1.2945798024906e-07,-0.00050507861929355
1.28,-0.066,-1.402465955961e-07,-0.00050508756349289
1.29,-0.063,1.4928381431566e-09,-0.00050496827931348
1.3,-0.06,1.4323232063742e-07,-0.00050487705781706
1.31,-0.057,4.7312637008839e-09,-0.00050498785401378
1.32,-0.054,3.5870039401488e-10,-0.00050496903650676
1.33,-0.051,-4.0137902654302e-09,-0.00050495021899708
1.34,-0.048,-8.3863173160382e-09,-0.00050493536440407
1.35,-0.045,-1.2758743247624e-08,-0.00050492519298751
1.36,-0.042,1.0200404392349e-08,-0.00050499224003768
1.37,-0.039,5.6090924954863e-14,-0.00050496934785661
1.38,-0.036,-1.0200387798113e-08,-0.00050494645567076
1.39,-0.033,1.2021017002135e-08,-0.00050499282340119
1.4,-0.03,-6.9336672024029e-14,-0.00050496934785323
1.41,-0.027,-1.202106627562e-08,-0.00050494587230678
1.42,-0.024,1.4069100086051e-08,-0.00050499143284995
1.43,-0.021,-1.4591621435981e-14,-0.00050496934784227
1.44,-0.018,-1.406915844412e-08,-0.00050494726284154
1.45,-0.015,1.5972441190051e-08,-0.00050498982387918
1.46,-0.012,-5.7558683974656e-15,-0.00050496934784421
1.47,-0.0089999999999997,-1.5972445240903e-08,-0.0005049488718086
1.48,-0.0059999999999997,1.7571653845095e-08,-0.0005049883724503
1.49,-0.0029999999999997,1.2386894624166e-14,-0.00050496934784786
1.5,0,-1.7571625210084e-08,-0.00050495032324683
