time,disp_y_top,react_y_top,stress_yy
0,0,0,0
0.01,-0.00226,-0.01881234853251,-0.0093905523570683
0.02,-0.00452,-0.026085070820515,-0.013012301514486
0.03,-0.00678,-0.033361315660049,-0.016631006340415
0.04,-0.00904,-0.04016817811284,-0.020010902607744
0.05,-0.0113,-0.045684744128757,-0.022743372573151
0.06,-0.01356,-0.051027880609745,-0.025385515174206
0.07,-0.01582,-0.054298170017236,-0.026992717577138
0.08,-0.01808,-0.056819096902725,-0.028225673645265
0.09,-0.02034,-0.059261426793479,-0.029417812204947
0.1,-0.0226,-0.061638354071394,-0.030575764021773
0.11,-0.02486,-0.06396035089641,-0.03170479102207
0.12,-0.02712,-0.066235786580068,-0.032809098879859
0.13,-0.02938,-0.068471446293522,-0.033892097467315
0.14,-0.03164,-0.070672900504977,-0.034956586368595
0.15,-0.0339,-0.072844773226518,-0.036004889587942
0.16,-0.03616,-0.074990940996256,-0.037038955482416
0.17,-0.03842,-0.077114666612984,-0.038060422178188
0.18,-0.04068,-0.079218771148349,-0.0390707101952
0.19,-0.04294,-0.081305651862494,-0.040071023790118
0.2,-0.0452,-0.083377375166274,-0.041062400586104
0.21,-0.04746,-0.085435748472723,-0.042045748847749
0.22,-0.04972,-0.087277132303561,-0.042920133802687
0.23,-0.05198,-0.096657785066256,-0.047567454480599
0.24,-0.05424,-0.11486749126723,-0.056625829721979
0.25,-0.0565,-0.13253564618078,-0.065406367525694
0.26,-0.05876,-0.14960069632372,-0.073877649088099
0.27,-0.06102,-0.16604721224979,-0.082031219005227
0.28,-0.06328,-0.18182699800711,-0.08984187429828
0.29,-0.06554,-0.19686880266136,-0.097272737196324
0.3,-0.0678,-0.21139776658236,-0.10443697407491
0.31,-0.07006,-0.2251209973024,-0.11118703148635
0.32,-0.07232,-0.23619431286199,-0.11660581695157
0.33,-0.07458,-0.24609675691333,-0.12143332993965
0.34,-0.07684,-0.25493233074959,-0.12572220221088
0.35,-0.0791,-0.26228709750693,-0.12926625747387
0.36,-0.08136,-0.26922025421507,-0.13259359926428
0.37,-0.08362,-0.27578197169792,-0.13572929257541
0.38,-0.08588,-0.28208594608206,-0.13873062111735
0.39,-0.08814,-0.28820008139606,-0.14163181364849
0.4,-0.0904,-0.29391116507479,-0.14432687607954
0.41,-0.09266,-0.2993775107981,-0.14689484942263
0.42,-0.09492,-0.30472597602426,-0.14939924989617
0.43,-0.09718,-0.30981030316571,-0.15176803301603
0.44,-0.09944,-0.31468052892549,-0.15402589766724
0.45,-0.1017,-0.31924981538251,-0.15613037738017
0.46,-0.10396,-0.33699799501762,-0.16480416712338
0.47,-0.10622,-0.35400139425824,-0.17310123127997
0.48,-0.10848,-0.37039124966906,-0.18108670468941
0.49,-0.11074,-0.38611400281229,-0.18873354305063
0.5,-0.113,-0.40110093997193,-0.19600720928851
0.51,-0.11526,-0.42163539038357,-0.20605160615764
0.52,-0.11752,-0.45093222159747,-0.22046849268658
